"Fecha","Codigo","Concepto","Tipo","Documento","Oficina","Monto","Saldo"
"29/09/2021","001045","74643173-MARISCOS BRIANN-PT-099112686400","C","0041056753","AG. NORTE","2,006.98","54,602.96"
"29/09/2021","001045","74622768-ROJAS Y CEVALLO-PT-099112686400","C","0021698786","AG. NORTE","7,001.90","52,595.98"
"28/09/2021","051070","PAGO CHEQUE CAMARA","D","0000003168","CENTRO SERVIC. OPERAT. SS. QTO","100,000.00","45,594.08"
"27/09/2021","001045","TRANSFERENCIA INTERNET","C","0063332309","AG. NORTE","640.00","145,594.08"
"24/09/2021","001020","DEPOSITO CHEQUE","C","0008830221","EL GUABO","28,295.39","144,954.08"
"24/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0006868605","CENTRO SERVIC. OPERAT. SS. QTO","10,000.00","116,658.69"
"24/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0006749143","CENTRO SERVIC. OPERAT. SS. QTO","7,000.00","106,658.69"
"23/09/2021","050333","PROHIBICION DE CHEQUE","C","0000003160","C.C. CALIFORNIA","0.00","99,658.69"
"23/09/2021","098450","IVA COBRADO","D","0018261263","C.C. CALIFORNIA","0.32","99,658.69"
"23/09/2021","098434","COSTO PROHIBICION","D","0018261263","C.C. CALIFORNIA","2.68","99,659.01"
"22/09/2021","001020","DEPOSITO CHEQUE","C","0017133075","EL GUABO","17,781.68","99,661.69"
"21/09/2021","001045","TRANSFERENCIA INTERNET","C","0029681334","AG. NORTE","600.00","81,880.01"
"21/09/2021","001045","74289227-MARISCOS BRIANN-PT-099112686400","C","0021766581","AG. NORTE","226.80","81,280.01"
"20/09/2021","051070","PAGO CHEQUE CAMARA","D","0000003166","CENTRO SERVIC. OPERAT. SS. QTO","100,000.00","81,053.21"
"17/09/2021","051073","PAGO CHEQUE","D","0000003167","VIA DAULE","7,002.72","181,053.21"
"16/09/2021","001010","DEPOSITO","C","0022817373","RIO CENTRO SHOPPING","800.00","188,055.93"
"15/09/2021","001055","74030923-DINERS CLUB DEL-DD-000000360860","D","0050473479","CENTRO SERVIC. OPERAT. SS. QTO","1,041.65","187,255.93"
"15/09/2021","001010","DEPOSITO","C","0009483196","HUAQUILLAS","1,516.00","188,297.58"
"15/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0008503133","CENTRO SERVIC. OPERAT. SS. QTO","18,000.00","186,781.58"
"14/09/2021","051070","PAGO CHEQUE CAMARA","D","0000003165","CENTRO SERVIC. OPERAT. SS. QTO","24,242.21","168,781.58"
"14/09/2021","001045","74000134-ROJAS Y CEVALLO-PT-099112686400","C","0044291479","AG. NORTE","12,273.58","193,023.79"
"14/09/2021","001045","73987898-MARISCOS BRIANN-PT-099112686400","C","0031675951","AG. NORTE","3,500.00","180,750.21"
"14/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0008562180","CENTRO SERVIC. OPERAT. SS. QTO","3,506.74","177,250.21"
"13/09/2021","001045","2021091000482462-73909826-GIRO-EXT","C","0069892850","SERVICIOS CENTRALE(S)","6,035.04","173,743.47"
"10/09/2021","001020","DEPOSITO CHEQUE","C","0013756725","EL GUABO","56,928.13","167,708.43"
"10/09/2021","001045","73799857-MARISCOS BRIANN-PT-099112686400","C","0012568150","AG. NORTE","1,890.00","110,780.30"
"08/09/2021","051070","PAGO CHEQUE CAMARA","D","0000003162","CENTRO SERVIC. OPERAT. SS. QTO","32,725.13","108,890.30"
"08/09/2021","001020","DEPOSITO CHEQUE","C","0017637805","SANTA ROSA","15,559.20","141,615.43"
"08/09/2021","001045","051-78567-73721657-GIRO-EXT","C","0014838455","SERVICIOS CENTRALE(S)","1,083.77","126,056.23"
"06/09/2021","001311","PAGO CHEQUE","D","0000003163","PASEO SHOPPING VIA A DAULE","4,707.02","124,972.46"
"06/09/2021","001020","DEPOSITO CHEQUE","C","0087681987","EL GUABO","26,007.80","129,679.48"
"06/09/2021","001045","73593913-DCAM S A-PT-099112686400","C","0082073699","AG. NORTE","2,463.87","103,671.68"
"06/09/2021","051070","PAGO CHEQUE CAMARA","D","0000003158","CENTRO SERVIC. OPERAT. SS. QTO","346.12","101,207.81"
"03/09/2021","001045","73525595-SOUTH PACIFIC S-RT-34","C","0053427450","AG. NORTE","5,204.55","101,553.93"
"03/09/2021","051073","PAGO CHEQUE","D","0000003164","PASEO SHOPPING VIA A DAULE","756.37","96,349.38"
"03/09/2021","001010","DEPOSITO","C","0016269576","PLAYAS","1,611.37","97,105.75"
"02/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0006791759","CENTRO SERVIC. OPERAT. SS. QTO","2,325.58","95,494.38"
"01/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0045049350","CENTRO SERVIC. OPERAT. SS. QTO","2,100.00","93,168.80"
"01/09/2021","001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0009985475","CENTRO SERVIC. OPERAT. SS. QTO","5,988.92","91,068.80"
